"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","PASSCAR","TOT","IDX2015","M","2021-02",87.4998503191196,
"BEL","PASSCAR","TOT","IDX2015","M","2021-03",107.68880746249,
"BEL","PASSCAR","TOT","IDX2015","M","2021-04",89.0709008394104,
"BEL","PASSCAR","TOT","IDX2015","M","2021-05",83.4285303732442,
"BEL","PASSCAR","TOT","IDX2015","M","2021-06",98.4924141729832,
"BEL","PASSCAR","TOT","IDX2015","M","2021-07",66.0894971919867,
"BEL","PASSCAR","TOT","IDX2015","M","2021-08",64.7244075630755,
"BEL","PASSCAR","TOT","IDX2015","M","2021-09",63.5940175545736,
"BEL","PASSCAR","TOT","IDX2015","M","2021-10",59.9801223790878,
"BEL","PASSCAR","TOT","IDX2015","M","2021-11",57.7983738669157,
"BEL","PASSCAR","TOT","IDX2015","M","2021-12",48.8007567865311,
"CAN","PASSCAR","TOT","IDX2015","M","2015-01",59.0732842731237,
"CAN","PASSCAR","TOT","IDX2015","M","2015-02",68.274740917731,
"CAN","PASSCAR","TOT","IDX2015","M","2015-03",107.850101499041,
"CAN","PASSCAR","TOT","IDX2015","M","2015-04",133.018494444928,
"CAN","PASSCAR","TOT","IDX2015","M","2015-05",139.527910130531,
"CAN","PASSCAR","TOT","IDX2015","M","2015-06",115.028315845924,
"CAN","PASSCAR","TOT","IDX2015","M","2015-07",112.398606248298,
"CAN","PASSCAR","TOT","IDX2015","M","2015-08",107.649630363796,
"CAN","PASSCAR","TOT","IDX2015","M","2015-09",106.027330336561,
"CAN","PASSCAR","TOT","IDX2015","M","2015-10",97.8905607295577,
"CAN","PASSCAR","TOT","IDX2015","M","2015-11",84.6560965406094,
"CAN","PASSCAR","TOT","IDX2015","M","2015-12",68.6049286698993,
"CAN","PASSCAR","TOT","IDX2015","M","2016-01",56.9253792526414,
"CAN","PASSCAR","TOT","IDX2015","M","2016-02",65.4900452323528,
"CAN","PASSCAR","TOT","IDX2015","M","2016-03",103.913117943851,
"CAN","PASSCAR","TOT","IDX2015","M","2016-04",122.187999247531,
"CAN","PASSCAR","TOT","IDX2015","M","2016-05",122.959560423516,
"CAN","PASSCAR","TOT","IDX2015","M","2016-06",111.874685886439,
"CAN","PASSCAR","TOT","IDX2015","M","2016-07",99.6341542167728,
"CAN","PASSCAR","TOT","IDX2015","M","2016-08",98.7092915844239,
"CAN","PASSCAR","TOT","IDX2015","M","2016-09",97.9057224120552,
"CAN","PASSCAR","TOT","IDX2015","M","2016-10",89.0260303626731,
"CAN","PASSCAR","TOT","IDX2015","M","2016-11",82.321197435991,
"CAN","PASSCAR","TOT","IDX2015","M","2016-12",62.742411437524,
"CAN","PASSCAR","TOT","IDX2015","M","2017-01",54.1524759869834,
"CAN","PASSCAR","TOT","IDX2015","M","2017-02",64.0395776067565,
"CAN","PASSCAR","TOT","IDX2015","M","2017-03",103.072486880933,
"CAN","PASSCAR","TOT","IDX2015","M","2017-04",111.116601761563,
"CAN","PASSCAR","TOT","IDX2015","M","2017-05",126.509078759325,
"CAN","PASSCAR","TOT","IDX2015","M","2017-06",112.046518288078,
"CAN","PASSCAR","TOT","IDX2015","M","2017-07",98.5088204491789,
"CAN","PASSCAR","TOT","IDX2015","M","2017-08",102.5300355738,
"CAN","PASSCAR","TOT","IDX2015","M","2017-09",99.0849643840847,
"CAN","PASSCAR","TOT","IDX2015","M","2017-10",84.5668110770129,
"CAN","PASSCAR","TOT","IDX2015","M","2017-11",76.8141374266132,
"CAN","PASSCAR","TOT","IDX2015","M","2017-12",57.4476149831116,
"CAN","PASSCAR","TOT","IDX2015","M","2018-01",55.244117126805,
"CAN","PASSCAR","TOT","IDX2015","M","2018-02",62.4695011525686,
"CAN","PASSCAR","TOT","IDX2015","M","2018-03",90.6129531307471,
"CAN","PASSCAR","TOT","IDX2015","M","2018-04",97.5603729773894,
"CAN","PASSCAR","TOT","IDX2015","M","2018-05",116.285050861829,
